code,name,sector,theme,fundamental_quality,policy_theme,concept_purity
600584,长电科技,半导体材料,国产替代,strong,半导体材料,core
600460,士兰微,半导体材料,国产替代,medium,半导体材料,core
600171,上海贝岭,半导体材料,国产替代,medium,半导体材料,related
600183,生益科技,半导体材料,国产替代,strong,半导体材料,core
600667,太极实业,半导体材料,国产替代,medium,半导体材料,related
600745,闻泰科技,消费电子,国产替代,medium,汽车电子,related
600198,大唐电信,信创,国产替代,weak,信创,related
600410,华胜天成,信创,数据要素,weak,信创,related
600570,恒生电子,工业软件,数字经济,strong,数据要素,core
600588,用友网络,工业软件,数字经济,strong,工业软件,core
600718,东软集团,工业软件,数字经济,medium,工业软件,related
600756,浪潮软件,信创,数字经济,medium,信创,core
600797,浙大网新,工业软件,数字经济,weak,工业软件,related
600845,宝信软件,工业软件,智能制造,strong,工业软件,core
600850,电科数字,信创,国产替代,strong,信创,core
600100,同方股份,信创,国产替代,medium,信创,related
600536,中国软件,信创,国产替代,strong,信创,core
600037,歌华有线,数据中心,数据要素,weak,数据中心,weak
600522,中天科技,通信设备,高端制造,strong,高端制造,core
600487,亨通光电,通信设备,高端制造,strong,高端制造,core
600498,烽火通信,通信设备,国产替代,strong,算力基础设施,core
600050,中国联通,数据中心,算力基础设施,strong,算力基础设施,core
600941,中国移动,数据中心,算力基础设施,strong,算力基础设施,core
601728,中国电信,数据中心,算力基础设施,strong,数据中心,core
601138,工业富联,服务器/算力基础设施,高端制造,strong,算力基础设施,core
601231,环旭电子,消费电子,高端制造,strong,连接器,related
601012,隆基绿能,电力电子,高端制造,strong,高端制造,related
601689,拓普集团,汽车电子,高端制造,strong,汽车电子,core
601058,赛轮轮胎,智能制造,高端制造,strong,高端制造,weak
601360,三六零,网络安全,数字经济,medium,网络安全,core
601595,上海电影,数据要素,数字经济,weak,数据要素,weak
601869,长飞光纤,通信设备,高端制造,strong,高端制造,core
601766,中国中车,智能制造,高端制造,strong,高端制造,related
601127,赛力斯,汽车电子,高端制造,medium,汽车电子,related
603005,晶方科技,传感器,国产替代,strong,汽车电子,core
603019,中科曙光,服务器/算力基础设施,算力基础设施,strong,算力基础设施,core
603083,剑桥科技,光模块,算力基础设施,medium,算力基础设施,core
603160,汇顶科技,消费电子,国产替代,strong,汽车电子,core
603228,景旺电子,PCB,高端制造,strong,高端制造,core
603236,移远通信,通信设备,高端制造,strong,高端制造,core
603267,鸿远电子,电力电子,高端制造,strong,高端制造,related
603290,斯达半导,电力电子,国产替代,strong,高端制造,core
603327,福蓉科技,消费电子,高端制造,medium,高端制造,related
603341,龙旗科技,消费电子,高端制造,medium,高端制造,related
603501,韦尔股份,传感器,国产替代,strong,汽车电子,core
603613,国联股份,工业软件,数字经济,medium,数据要素,related
603659,璞泰来,电力电子,高端制造,strong,高端制造,related
603690,至纯科技,半导体设备,国产替代,strong,半导体设备,core
603986,兆易创新,半导体材料,国产替代,strong,半导体材料,core
603986,兆易创新,半导体材料,国产替代,strong,半导体材料,core
605111,新洁能,电力电子,国产替代,strong,高端制造,core
605358,立昂微,半导体材料,国产替代,strong,半导体材料,core
605358,立昂微,半导体材料,国产替代,strong,半导体材料,core
605117,德业股份,电力电子,高端制造,strong,高端制造,related
605288,凯迪股份,机器人零部件,高端制造,medium,机器人,related
605305,中际联合,智能制造,高端制造,medium,智能制造,related
000021,深科技,服务器/算力基础设施,国产替代,medium,算力基础设施,related
000034,神州数码,信创,数字经济,strong,信创,core
000063,中兴通讯,通信设备,算力基础设施,strong,算力基础设施,core
000066,中国长城,信创,国产替代,strong,信创,core
